iter,tec,vintage,year_all,Level
2121,OTL,2020,2020,0.000e+00
2121,OTL,2020,2025,0.000e+00
2121,OTL,2020,2030,0.000e+00
2121,OTL,2020,2035,0.000e+00
2121,OTL,2025,2025,1.783e+08
2121,OTL,2025,2030,1.783e+08
2121,OTL,2025,2035,0.000e+00
2121,OTL,2025,2040,0.000e+00
2121,OTL,2030,2030,0.000e+00
2121,OTL,2030,2035,0.000e+00
2121,OTL,2030,2040,0.000e+00
2121,OTL,2030,2045,0.000e+00
2121,OTL,2035,2035,1.015e+09
2121,OTL,2035,2040,1.015e+09
2121,OTL,2035,2045,8.546e+01
2121,OTL,2035,2050,1.015e+09
2121,OTL,2040,2040,0.000e+00
2121,OTL,2040,2045,0.000e+00
2121,OTL,2040,2050,0.000e+00
2121,OTL,2045,2045,0.000e+00
2121,OTL,2045,2050,0.000e+00
2121,OTL,2050,2050,0.000e+00
2121,CTL,2020,2020,0.000e+00
2121,CTL,2020,2025,0.000e+00
2121,CTL,2020,2030,0.000e+00
2121,CTL,2020,2035,0.000e+00
2121,CTL,2025,2025,0.000e+00
2121,CTL,2025,2030,0.000e+00
2121,CTL,2025,2035,0.000e+00
2121,CTL,2025,2040,0.000e+00
2121,CTL,2030,2030,0.000e+00
2121,CTL,2030,2035,0.000e+00
2121,CTL,2030,2040,0.000e+00
2121,CTL,2030,2045,0.000e+00
2121,CTL,2035,2035,0.000e+00
2121,CTL,2035,2040,0.000e+00
2121,CTL,2035,2045,0.000e+00
2121,CTL,2035,2050,0.000e+00
2121,CTL,2040,2040,0.000e+00
2121,CTL,2040,2045,0.000e+00
2121,CTL,2040,2050,0.000e+00
2121,CTL,2045,2045,0.000e+00
2121,CTL,2045,2050,0.000e+00
2121,CTL,2050,2050,0.000e+00
2121,PTL,2020,2020,3.165e+08
2121,PTL,2020,2025,3.165e+08
2121,PTL,2020,2030,3.165e+08
2121,PTL,2020,2035,3.339e+07
2121,PTL,2025,2025,0.000e+00
2121,PTL,2025,2030,0.000e+00
2121,PTL,2025,2035,0.000e+00
2121,PTL,2025,2040,0.000e+00
2121,PTL,2030,2030,5.075e+07
2121,PTL,2030,2035,0.000e+00
2121,PTL,2030,2040,4.845e+07
2121,PTL,2030,2045,4.845e+07
2121,PTL,2035,2035,0.000e+00
2121,PTL,2035,2040,0.000e+00
2121,PTL,2035,2045,0.000e+00
2121,PTL,2035,2050,0.000e+00
2121,PTL,2040,2040,0.000e+00
2121,PTL,2040,2045,0.000e+00
2121,PTL,2040,2050,0.000e+00
2121,PTL,2045,2045,4.369e+08
2121,PTL,2045,2050,0.000e+00
2121,PTL,2050,2050,0.000e+00
2121,BTL,2020,2020,0.000e+00
2121,BTL,2020,2025,0.000e+00
2121,BTL,2020,2030,0.000e+00
2121,BTL,2020,2035,0.000e+00
