Itr_id CO2         cost       
  2121 2.41217e+09 1.22668e+08
  2122 3.07414e+08 1.44619e+08
  2123 4.57736e+09 1.02181e+08
  2124 2.81717e+09 1.18098e+08
  2125 1.32330e+09 1.20409e+08
  2126 1.32666e+09 1.21925e+08
  2127 1.05539e+09 1.24620e+08
  2128 8.12593e+08 1.44434e+08
  2129 4.74167e+08 1.39755e+08
  2130 3.07414e+08 1.42092e+08
  2131 4.70484e+09 1.25690e+08
  2132 1.97436e+09 1.34132e+08
  2133 1.24371e+09 1.22443e+08
  2134 3.19662e+09 1.13587e+08
  2135 3.29790e+09 1.09665e+08
  2136 3.54867e+09 1.06775e+08
  2137 3.76660e+09 1.06862e+08
  2138 3.76108e+09 1.06926e+08
  2139 3.90322e+09 1.04510e+08
  2140 4.16054e+09 1.04164e+08
  2141 4.08040e+09 1.04423e+08
  2142 4.14342e+09 1.03681e+08
  2143 1.93079e+09 1.16805e+08

